Configuration,Agent Role,Average Reward,Total Wins,Total Draws,Total Losses,Average Time (ms),S,R,D_mcts,D_minimax,agent_1_type,agent_2_type,matchup,Total Games
"MCTS(S=70,R=2,D=2) vs MCTS(S=70,R=2,D=2)",White,0.0,0,10,0,248.22083632151288,70,2,2,0,MCTS,MCTS,MCTS vs MCTS,10
"MCTS(S=70,R=2,D=2) vs MCTS(S=70,R=2,D=3)",Black,0.0,0,10,0,274.7797409693399,70,2,2,0,MCTS,MCTS,MCTS vs MCTS,10
"MCTS(S=70,R=2,D=2) vs MCTS(S=70,R=2,D=3)",White,0.0,0,10,0,335.30074596405035,70,2,2,0,MCTS,MCTS,MCTS vs MCTS,10
"MCTS(S=70,R=2,D=2) vs MCTS(S=70,R=3,D=2)",Black,0.0,0,10,0,257.5680605570475,70,2,2,0,MCTS,MCTS,MCTS vs MCTS,10
"MCTS(S=70,R=2,D=2) vs MCTS(S=70,R=3,D=2)",White,0.0,0,10,0,323.2304445902506,70,2,2,0,MCTS,MCTS,MCTS vs MCTS,10
"MCTS(S=70,R=2,D=2) vs MCTS(S=70,R=3,D=3)",Black,0.0,0,10,0,277.41437117258704,70,2,2,0,MCTS,MCTS,MCTS vs MCTS,10
"MCTS(S=70,R=2,D=2) vs MCTS(S=70,R=3,D=3)",White,0.0,0,10,0,463.4795316060385,70,2,2,0,MCTS,MCTS,MCTS vs MCTS,10
"MCTS(S=70,R=2,D=3) vs MCTS(S=70,R=2,D=3)",Black,-1.0,0,0,10,371.1122072660006,70,2,3,0,MCTS,MCTS,MCTS vs MCTS,10
"MCTS(S=70,R=2,D=3) vs MCTS(S=70,R=2,D=3)",White,1.0,10,0,0,397.39922376779407,70,2,3,0,MCTS,MCTS,MCTS vs MCTS,10
"MCTS(S=70,R=2,D=3) vs MCTS(S=70,R=3,D=2)",Black,0.0,0,10,0,379.27879333496094,70,2,3,0,MCTS,MCTS,MCTS vs MCTS,10
"MCTS(S=70,R=2,D=3) vs MCTS(S=70,R=3,D=2)",White,0.0,0,10,0,416.5327676137288,70,2,3,0,MCTS,MCTS,MCTS vs MCTS,10
"MCTS(S=70,R=2,D=3) vs MCTS(S=70,R=3,D=3)",Black,-1.0,0,0,10,339.3751291128305,70,2,3,0,MCTS,MCTS,MCTS vs MCTS,10
